STATE_UT,NUM_PROJECTS,AMOUNT_SANCTIONED,AMOUNT_RELEASED,AMOUNT_UTILISED
Andhra Pradesh,3,141.53,141.53,142.94
Arunachal Pradesh,2,146.49,139.16,124.05
Assam,2,185.66,176.36,175.95
Bihar,5,262.73,248.06,234.98
Chhattisgarh,1,96.1,94.23,94.23
Goa,2,197,192.11,187.14
Gujarat,3,176.22,165.74,161.26
Haryana,1,70.91,77.88,69.53
Himachal Pradesh,1,68.34,64.55,60.8
Jammu & Kashmir and Ladakh,6,519.59,434.51,390.99
Jharkhand,1,30.11,26.37,23.37
Kerala,5,320.82,204.63,184.28
Madhya Pradesh,4,349.7,337.63,328.88
Maharashtra,2,73.02,50.15,38.49
Manipur,2,117.57,104.36,104.16
Meghalaya,2,184.1,171.33,145.12
Mizoram,2,158.63,141.79,139.77
Nagaland,2,195.5,185.73,185.73
Odisha,1,70.82,63.56,59.93
Punjab,1,94.51,67.14,62.67
Rajasthan,4,283.47,255.16,248.34
Sikkim,2,193.37,187.96,177.95
Tamil Nadu,1,73.13,69.48,69.48
Telangana,3,268.39,237.52,240.6
Tripura,2,127.68,91.67,79.72
Uttar Pradesh,8,488.22,445.08,419.19
Uttarakhand,2,145.49,136.79,138.11
West Bengal,1,67.99,65.07,65.07
Andaman & Nicobar Islands,1,27.57,20.89,14.51
Puducherry,3,142.84,135.08,132.95
Wayside Amenities UP & Bihar,1,15.07,14.32,14.16
