SERIAL_NO,MONUMENT_NAME,STATE,DOMESTIC_2020_21,FOREIGN_2020_21,DOMESTIC_2021_22,FOREIGN_2021_22,GROWTH_DOMESTIC_PCT,GROWTH_FOREIGN_PCT
1,Taj Mahal,Uttar Pradesh,"12,59,892","9,034","32,94,611","38,922",161.50%,330.80%
2,Agra Fort,Uttar Pradesh,"3,71,242","2,810","10,27,462","13,598",176.80%,383.90%
3,Fatehpur Sikri,Uttar Pradesh,"1,07,835",574,"1,57,253","2,122",45.80%,269.70%
4,Akbar Tomb Sikandra,Uttar Pradesh,"99,509",321,"1,87,182","1,028",88.10%,220.20%
5,Mariam tomb Sikandra,Uttar Pradesh,"9,765",31,"17,537",98,79.60%,216.10%
6,Itimad-ud-Daulah Tomb,Uttar Pradesh,"41,016",410,"90,711","1,927",121.20%,370.00%
7,Ram Bagh,Uttar Pradesh,"18,599",54,"30,965",95,66.50%,75.90%
8,Mehtab Bagh,Uttar Pradesh,"62,652",544,"86,213","1,653",37.60%,203.90%
9,Mausoleum,Uttar Pradesh,"91,185",321,"3,17,653",643,248.40%,100.30%
10,Site of Sahet mahet,Uttar Pradesh,"27,201",35,"51,796",306,90.40%,774.30%
11,Residency Building,Uttar Pradesh,"57,194",37,"1,11,829",130,95.50%,251.40%
12,Piprahwa & Ganwaria,Uttar Pradesh,"12,062",3,"23,153",101,91.90%,3266.70%
13,Gupta Temple & Varah Temple,Uttar Pradesh,931,0,"1,636",4,75.70%,
14,Kalinjar Fort,Uttar Pradesh,"80,291",27,"88,603",7,10.40%,-74.10%
15,Rani Lakshmi Bai Mahal,Uttar Pradesh,"5,712",5,"3,10,233",58,5331.30%,1060.00%
16,Rani Jhansi Fort,Uttar Pradesh,"1,74,622",107,"10,836",15,-93.80%,-86.00%
17,Lord Cornwallis Tomb,Uttar Pradesh,"5,289",9,"7,086",14,34.00%,55.60%
18,Old Fort (Shahi Fort) Jaunpur,Uttar Pradesh,"67,163",127,"1,23,344",201,83.60%,58.30%
19,Observatory of Man Singh,Uttar Pradesh,"21,379",11,"36,267",28,69.60%,154.50%
20,Excavated Remains at sarnath,Uttar Pradesh,"1,70,590",384,"3,28,684","1,617",92.70%,321.10%
21,Tomb of Lal Khan,Uttar Pradesh,"1,972",2,"2,515",4,27.50%,100.00%
22,Ancient Buddhist Site known as Chaukhandi stupa,Uttar Pradesh,"14,956",46,"21,997",91,47.10%,97.80%
23,Bekal Fort Pallikkare,Kerala,"1,15,333",242,"2,00,127",133,73.50%,-45.00%
24,Mattancherry Palace Museum,Kerala,"23,026",177,"65,066","1,118",182.60%,531.60%
25,Fort Palakkad,Kerala,"43,927",26,"96,142",10,118.90%,-61.50%
26,Fort St. Angelo Kannur,Kerala,"65,683",115,"1,52,543",59,132.20%,-48.70%
27,Group of Monuments Mamallapuram,Tamil Nadu,"8,08,145","29,145","11,42,150","1,44,984",41.30%,397.50%
28,Gingee Fort,Tamil Nadu,"1,25,109","2,272","1,88,496","10,483",50.70%,361.40%
29,Tiger headed Rock cut temple two other monuments Saluvankuppam,Tamil Nadu,"58,206",868,"81,313","25,579",39.70%,2846.90%
30,Fort on Rock Dindigual,Tamil Nadu,"25,603",99,"27,368","4,073",6.90%,4014.10%
31,Moovarkoil Kodumbalur,Tamil Nadu,"1,476",9,829,161,-43.80%,1688.90%
32,Rock-cut Jain Temple Sittannavasasl,Tamil Nadu,"41,791",235,"44,408","5,432",6.30%,2211.50%
33,Tirumalai Nayak's Palace,Tamil Nadu,217,3,530,82,144.20%,2633.30%
34,Natural Caven with inscription eladipattam Sittannavasal,Tamil Nadu,"2,490",19,"22,800","2,589",815.70%,13526.30%
35,Fort Museum Thirumayam,Tamil Nadu,"41,487","1,555","62,622","8,422",50.90%,441.60%
36,Fort Vattakottai,Tamil Nadu,"5,058",36,"53,200","9,174",951.80%,25383.30%
37,Buddhist Caves,Madhya Pradesh,"23,692",0,"27,260",1,15.10%,
38,The palace situated in the fort Burhanpur,Madhya Pradesh,"13,926",27,"31,284",76,124.60%,181.50%
39,Hoshang Shah's Tomb,Madhya Pradesh,"57,769",39,"1,13,132",107,95.80%,174.40%
40,Group of monument Royal Palace Mandu,Madhya Pradesh,"1,81,868",128,"3,44,821",92,89.60%,-28.10%
41,Roopmati's Pavilion,Madhya Pradesh,"1,48,680",91,"3,36,231",55,126.10%,-39.60%
